user_id,major,class_year,residence_type,interests
1,Computer Science,2027,Dorm,"tech,gaming,clubs"
2,Finance,2026,Commuter,"finance,career,networking"
3,Engineering,2025,Dorm,"robotics,hardware,fitness"
4,Biology,2025,Dorm,"wellness,volunteering,pre-med"
5,Marketing,2027,Off-Campus Apartment,"content,social-media,events"
6,Data Science,2026,Dorm,"ai,stats,hackathons"
7,Accounting,2025,Commuter,"finance,investing,clubs"
8,Computer Science,2028,Dorm,"web-dev,open-source,gaming"
9,Economics,2027,Off-Campus Apartment,"macro,policy,reading"
10,Psychology,2026,Dorm,"wellness,peer-support,art"
11,Computer Science,2027,Dorm,"security,ctf,gaming"
12,Math,2026,Commuter,"problem-solving,tutoring,clubs"
13,Information Systems,2025,Dorm,"productivity,automation,apps"
14,Journalism,2027,Off-Campus Apartment,"writing,media,events"
15,Physics,2026,Dorm,"space,technology,reading"
16,Computer Engineering,2025,Dorm,"hardware,embedded-systems,gadgets"
17,Business Analytics,2027,Commuter,"data,finance,dashboarding"
18,Statistics,2026,Dorm,"ai,data-viz,teaching"
19,Computer Science,2028,Dorm,"mobile-dev,gaming,clubs"
20,Urban Studies,2025,Off-Campus Apartment,"community,policy,advocacy"
